Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Chicken breast fried w/batter|28|1 ea|140|52|364|34,8|12,6|0|119|18,5|4,9|7,6|4,3|1,8|34|385|258|0,11|282|1,3|14,7|0,16|0,2|28|0,6|0|POULTRY
Carrot cake, cream cheese|44|1 pce|96|23|385|4,2|48|0,7|74|21|4,1|8,4|6,8|1,3|12|279|62|0,71|108|0,5|0,9|0,11|0,12|15|0,86|1|BAKED GOODS
Bread crumbs, dry grated|122|1 cup|100|7|390|13|73|4|5|5|1,5|1,6|1|4,1|31|736|141|0,87|152|0,5|4,8|0,35|0,35|0|0,02|0|BAKED GOODS
Burrito, beef and bean|165|1 ea|175|54|390|21|40|5|52|17,5|6,8|6,7|2,3|2,7|61|516|274|0,6|388|3,3|4,36|0,26|0,29|58|0,73|5|MIXED DISHES AND FAST FOODS
Lemonade concentrate|15|3/4 cup|219|52|397|0,6|103|0,9|0|0,4|0,1|0|0,1|1,6|11|8|19|0,79|148|0,2|0,16|0,06|0,21|21|0,06|39|BEVERAGES
Apple pie|3|1 slice|158|48|403|3|60|3,2|0|18|4,2|7,6|4,9|1,8|10|474|50|0,06|10|0,3|1,59|0,17|0,13|29|0,09|0|BAKED GOODS
Peach pie, piece|27|1 pce|158|48|405|33,5|60,7|2,8|0|17,5|4,1|7,7|4,8|1,9|16|423|55|0,49|235|0,3|2,3|0,17|0,15|93|0,07|5|BAKED GOODS
Raisins, seedless|71|1 cup|145|15|435|4,7|115|9,6|0|0,7|0,2|0|0,2|3|48|17|140|0,51|1089|0,5|1,19|0,23|0,13|1|0,36|5|FRUITS
Duck meat only roasted|27|1/2 duck|221|64|445|51,9|0|0|198|24,8|9,2|8,2|3,1|6|44|143|449|0,06|557|5,8|11,3|0,57|1,04|51|0,55|0|POULTRY
Lard|0|1/4 cup|54|0|453|0|0|0|49|51|20,1|23,1|5,8|0|0|0|1|0|0|0|0|0|0|0|0|0|FATS AND OILS
